id,toponimo,provincia,comune,bibliografia,etimologia,classificazione,localizzato,position_x,position_y,,,,,,,,,,,,,,,,,
78,Margatte,seu,Salze,/,rivo,Fermo,Amandola,,Salze,=,salato,idronimo,Si,367843,4765820,,,,,,,,,,,
79,Marnacchia,Fermo,Amandola,Pieri,S.1969:302,Marna,=,tipo,di,roccia.,,oronimo,Si,369434,4761661,,,,,,,,,,,
80,Melasiani,Fermo,Amandola,Pieri,S.,1969:189,Melum,=,melo.,,fitotoponimo,Si,363175,4766431,,,,,,,,,,,,
81,Melognati,/,rigum,Fermo,Amandola,Pieri,S..,,1969:189,Melum,=,melo.,idronimo/fitotoponimo,No,0,0,,,,,,,,,,
82,Merdarius,/,rigum,Ascoli,Piceno,Comunanza,Pieri S.1969: 348; Giammarco  E. 1990: 239,Merdam,=,torbido.,,idronimo,Si,370253,4757684,,,,,,,,,,,
83,Meso,/,Mesa,Macerata,Sarnano,Giammarco,,E.,1990:239,Mensa,=,terreno,piatto,e,rialzato.,geotoponimo,Si,361582,4767669,,,,,,,
84,Meteme,Fermo,Amandola,Giammarco E. 1990:162; Pieri S. 1969:349,Meta?,,gromatico,Si,365218,4759164,,,,,,,,,,,,,,,,
85,Miciliano,Macerata,Gualdo,Schulze 1966 102.  161.  445; Giammarco E.1990:240,Micilianus.,prediale,Si,364854,4766385,,,,,,,,,,,,,,,,,
86,Mogliepta,Fermo,Amandola,Giammarco,,E.,1990:243,Molleus.,,geotoponimo,Si,362868,4758380,,,,,,,,,,,,,
87,Montericulo,Fermo,Amandola,,Ricola?,Strada,,calle,oronimo,Si,366782,4760296,,,,,,,,,,,,,,
88,Montem,Berri,Fermo,Amandola,,Non,determinabile,oronimo,Si,358644,4759998,,,,,,,,,,,,,,,
89,Monte,Rotto,Fermo,Amandola,Pieri,S.,1969:272,Ruptum.,oronimo,Si,368387,4764690,,,,,,,,,,,,,,
90,Morrobione,Fermo,Amandola,Giammarco,E.1990:257,e,Giammarco,E.1960:87,Murra,=,altura,,roccia,,spuntone.,geotoponimo,Si,365827,4759898,,,,,,,
91,Monte,Monacisco,Fermo,Amandola,,Non,determinabile,oronimo,Si,365237,4762498,,,,,,,,,,,,,,,
92,Moregnano,/,fosso,Fermo,Amandola,Pellegrini,G.B.,1981:255,Muraenianum,,Muraena,(Amadio),oppure,da,Murrenius,,prediale,No,0,0,,,,,,
93,Ne,lu,campu,da,Santu,Petru,Fermo,Amandola,,,agrotoponimo,No,0,0,,,,,,,,,,,,
94,Ne,lu,Voscu,de,lu,riguarseru,Fermo,Amandola,,,fitotoponimo,No,0,0,,,,,,,,,,,,
95,Nucelle,Fermo,Amandola,Pieri,S.,1969:193,Nucem,=,noce.,,fitotoponimo,Si,365089,4762102,,,,,,,,,,,,
96,Nucelletta,Fermo,Amandola,Pieri,S.,1969:193,Nucem,=,noce.,,fitotoponimo,Si,360389,4761512,,,,,,,,,,,,
97,Nonale,Fermo,Amandola,,Nonius?,localit�,No,0,0,,,,,,,,,,,,,,,,,
98,Oca,/,rigum,Ascoli,Piceno,Comunanza,Pieri,S.1969:,218,Avicam.,,idronimo/zootoponimo,Si,372032,4758672,,,,,,,,,,,
99,P.so,junturi,-,,forcam,Iove,,,Pieri,S.,1969:,298,Iugum,=,giogo.,,geotoponimo,Si,356778,4761306,,,,,,
100,Paterno,Fermo,Montefortino,Pieri,S.,1969:267,Paternum.,,localit�,Si,362876,4759685,,,,,,,,,,,,,,
101,Colle,Pecorario,Fermo,Amandola,Pieri,S.,1969:232,Pecus,=,pecora.,,oronimo/zootoponimo,No,0,0,,,,,,,,,,,
102,Pectu,Fermo,Amandola,Giammarco,,E.,1990:299,Pectus,=,relativo,alla,forma,del,terreno.,,geotoponimo,No,0,0,,,,,,,
103,Pian,de,la,Lacha,Fermo,Amandola,Giammarco,E.1960:122,Lacha=,lago.,,geotoponimo,Si,361071,4760764,,,,,,,,,,,
104,Coldipastena,/,Pastene,Macerata,Sarnano,Giammarco,E.,1990:141,Pastinum,=,terreno,dissodato.,,oronimo,Si,358988,4764999,,,,,,,,,
105,Pleca,Macerata,San,Ginesio,Pellegrini,G.B.,1981:278,Plica,=,piega.,geotoponimo,Si,359302,4770285,,,,,,,,,,,,
